Spectrum,Proportion_C_A,Niche
M_abscessus_DCCs,0.131357629,Lung
M_abscessus_environmental,0.046721061,Environmental
M_tuberculosis_lineage1,0.110016884,Lung
M_tuberculosis_lineage2,0.087829312,Lung
M_tuberculosis_lineage3,0.099931003,Lung
M_tuberculosis_lineage4,0.090760447,Lung
M_tuberculosis_lineage5,0.110063312,Lung
M_tuberculosis_lineage6,0.117409241,Lung
M_tuberculosis_lineage7,0.123544504,Lung
M_canettii,0.05218003,Environmental
M_leprae,0.141922673,Lung
M_avium,0.048033797,Environmental
M_intracellulare,0.046656167,Environmental
M_chimaera,0.07375339,Environmental
M_kansasii_non_MKMC,0.064317327,Environmental
M_kansasii_MKMC,0.099110695,Lung
B_cenocepacia_ECs,0.08260739,Lung
B_pseudomallei_group1,0.032852623,Environmental
B_pseudomallei_group2,0.041137621,Environmental
B_pseudomallei_group3,0.04142019,Environmental
B_pseudomallei_group4,0.040729702,Environmental
B_pseudomallei_group5,0.039252007,Environmental
